code,tradeStatus,code_name
sh.000001,1,上证综合指数
sh.000003,1,上证B股指数
sh.000005,1,上证商业类指数
sh.000007,1,上证公用事业指数
sh.000009,1,上证380
sh.000011,1,上证基金指数
sh.000013,1,上证企业债指数
sh.000016,1,上证50指数
sh.000018,1,上证180金融股指数
sh.000020,1,上证中型企业综合指数
sh.000022,1,沪公司债
sh.000026,1,上证180资源指数
sh.000028,1,上证180成长指数
sh.000030,1,上证180相对成长指数
sh.000032,1,上证能源行业指数
sh.000034,1,上证工业行业指数
sh.000036,1,上证主要消费行业指数
sh.000038,1,上证金融地产行业指数
sh.000040,1,上证电信业务行业指数
sh.000042,1,上证中央企业50指数
sh.000044,1,上证中盘
sh.000046,1,上证中小
sh.000048,1,责任指数
sh.000050,1,50等权
sh.000052,1,50基本
sh.000054,1,上证海外
sh.000057,1,全指成长
sh.000059,1,全R成长
sh.000061,1,沪企债30
sh.000063,1,上证周期
sh.000065,1,上证龙头
sh.000067,1,上证新兴
sh.000069,1,消费80
sh.000071,1,材料等权
sh.000073,1,可选等权
sh.000075,1,医药等权
sh.000077,1,信息等权
sh.000079,1,公用等权
sh.000091,1,沪财中小
sh.000093,1,180分层
sh.000095,1,上证中游
sh.000097,1,高端装备
sh.000099,1,上证F300
sh.000101,1,上证5年期信用债指数
sh.000103,1,沪消费品
sh.000105,1,380材料
sh.000107,1,380可选
sh.000109,1,380医药
sh.000111,1,380信息
sh.000113,1,380公用
sh.000115,1,380等权
sh.000117,1,380成长
sh.000119,1,380R成长
sh.000121,1,医药主题
sh.000123,1,上证180动态指数
sh.000126,1,消费50
sh.000129,1,180波动
sh.000131,1,上证高新
sh.000133,1,上证150
sh.000135,1,上证180高贝塔指数
sh.000137,1,上证380高贝塔指数
sh.000139,1,上证可转换债券指数
sh.000142,1,上证380稳定指数
sh.000146,1,上证优势制造产业指数
sh.000148,1,上证消费服务领先指数
sh.000150,1,上证380红利指数
sh.000152,1,上证中央企业红利指数
sh.000155,1,上证市值百强指数
sh.000159,1,上证沪股通指数
sh.000161,1,上证中国制造2025主题指数
sh.000300,1,沪深300指数
sh.000805,1,A股资源
sh.000807,1,食品饮料
sh.000814,1,细分医药
sh.000819,1,有色金属
sh.000823,1,中证800有色
sh.000828,1,沪深300高贝塔指数
sh.000833,1,中证1-7年中高收益企债指数
sh.000842,1,中证800等权重指数
sh.000847,1,中证腾讯济安价值100A股指数
sh.000851,1,百发100指数
sh.000853,1,中证申万一带一路主题投资指数
sh.000855,1,央视财经500指数
sh.000857,1,中证500医药卫生指数
sh.000901,1,中证南方小康产业指数
sh.000904,1,中证200指数
sh.000906,1,中证800指数
sh.000909,1,沪深300原材料(一级行业)指数
sh.000911,1,沪深300可选消费指数
sh.000913,1,沪深300医药卫生指数
sh.000917,1,沪深300公用事业(一级行业)指数
sh.000919,1,沪深300价值指数
sh.000925,1,中证锐联基本面50指数
sh.000931,1,中证可选消费指数
sh.000933,1,中证医药卫生指数
sh.000935,1,中证信息技术指数
sh.000940,1,中证财富大盘指数
sh.000950,1,沪深300基建主题指数
sh.000952,1,沪深300地产指数
sh.000958,1,中证创业成长指数
sh.000961,1,中证上游资源产业指数
sh.000964,1,中证新兴产业指数
sh.000969,1,沪深300非周期行业指数
sh.000974,1,中证800金融
sh.000977,1,中证内地低碳经济主题指数
sh.000979,1,中证大宗商品股票指数
sh.000983,1,智能资产
sh.000986,1,全指能源
sh.000989,1,全指可选
sh.000991,1,全指医药
sh.000993,1,全指信息
sh.600000,1,浦发银行
sh.600006,1,东风汽车
sh.600008,1,首创股份
sh.600010,1,包钢股份
sh.600012,1,皖通高速
sh.600016,1,民生银行
sh.600018,1,上港集团
sh.600020,1,中原高速
sh.600022,1,山东钢铁
sh.600025,1,华能水电
sh.600027,1,华电国际
sh.600029,1,南方航空
sh.600031,1,三一重工
sh.600035,1,楚天高速
sh.600037,1,歌华有线
sh.600039,1,四川路桥
sh.600050,1,中国联通
sh.600052,1,浙江广厦
sh.600054,1,黄山旅游
sh.600056,1,中国医药
sh.600058,1,五矿发展
sh.600060,1,海信视像
sh.600062,1,华润双鹤
sh.600064,1,南京高科
sh.600067,1,冠城大通
sh.600070,1,浙江富润
sh.600072,1,中船科技
sh.600075,1,新疆天业
sh.600077,1,宋都股份
sh.600079,1,人福医药
sh.600081,1,东风科技
sh.600083,1,*ST博信
sh.600085,1,同仁堂
sh.600088,1,中视传媒
sh.600090,1,*ST济堂
sh.600093,1,易见股份
sh.600095,1,哈高科
sh.600097,1,开创国际
sh.600099,1,林海股份
sh.600101,1,明星电力
sh.600104,1,上汽集团
sh.600106,1,重庆路桥
sh.600108,1,亚盛集团
sh.600110,1,诺德股份
sh.600112,1,ST天成
sh.600114,1,东睦股份
sh.600116,1,三峡水利
sh.600118,1,中国卫星
sh.600120,1,浙江东方
sh.600122,1,*ST宏图
sh.600125,1,铁龙物流
sh.600127,1,金健米业
sh.600129,1,太极集团
sh.600131,1,国网信通
sh.600133,1,东湖高新
sh.600136,1,当代文体
sh.600138,1,中青旅
sh.600141,1,兴发集团
sh.600145,1,*ST新亿
sh.600148,1,长春一东
sh.600150,1,中国船舶
sh.600152,1,维科技术
sh.600155,1,华创阳安
sh.600157,1,永泰能源
sh.600159,1,大龙地产
sh.600161,1,天坛生物
sh.600163,1,中闽能源
sh.600166,1,福田汽车
sh.600168,1,武汉控股
sh.600170,1,上海建工
sh.600172,1,黄河旋风
sh.600176,1,中国巨石
sh.600178,1,东安动力
sh.600180,1,瑞茂通
sh.600183,1,生益科技
sh.600185,1,格力地产
sh.600187,1,国中水务
sh.600189,1,吉林森工
sh.600191,1,华资实业
sh.600193,1,ST创兴
sh.600196,1,复星医药
sh.600198,1,大唐电信
sh.600200,1,江苏吴中
sh.600202,1,哈空调
sh.600206,1,有研新材
sh.600208,1,新湖中宝
sh.600210,1,紫江企业
sh.600212,1,*ST江泉
sh.600215,1,*ST经开
sh.600217,1,中再资环
sh.600219,1,南山铝业
sh.600221,1,海航控股
sh.600223,1,鲁商发展
sh.600226,1,*ST瀚叶
sh.600228,1,ST昌九
sh.600230,1,沧州大化
sh.600232,1,金鹰股份
sh.600234,1,ST山水
sh.600236,1,桂冠电力
sh.600238,1,ST椰岛
sh.600241,1,*ST时万
sh.600243,1,*ST海华
sh.600247,1,*ST成城
sh.600249,1,两面针
sh.600251,1,冠农股份
sh.600255,1,*ST梦舟
sh.600257,1,大湖股份
sh.600259,1,广晟有色
sh.600261,1,阳光照明
sh.600265,1,ST景谷
sh.600267,1,海正药业
sh.600269,1,赣粤高速
sh.600272,1,开开实业
sh.600275,1,ST昌鱼
sh.600277,1,亿利洁能
sh.600279,1,重庆港九
sh.600281,1,太化股份
sh.600283,1,钱江水利
sh.600285,1,羚锐制药
sh.600288,1,大恒科技
sh.600290,1,*ST华仪
sh.600292,1,远达环保
sh.600295,1,鄂尔多斯
sh.600298,1,安琪酵母
sh.600300,1,维维股份
sh.600302,1,标准股份
sh.600305,1,恒顺醋业
sh.600307,1,酒钢宏兴
sh.600309,1,万华化学
sh.600311,1,*ST荣华
sh.600313,1,农发种业
sh.600316,1,洪都航空
sh.600318,1,新力金融
sh.600320,1,振华重工
sh.600322,1,天房发展
sh.600325,1,华发股份
sh.600327,1,大东方
sh.600329,1,中新药业
sh.600331,1,宏达股份
sh.600333,1,长春燃气
sh.600336,1,澳柯玛
sh.600338,1,西藏珠峰
sh.600340,1,华夏幸福
sh.600345,1,长江通信
sh.600348,1,阳泉煤业
sh.600351,1,亚宝药业
sh.600353,1,旭光电子
sh.600355,1,精伦电子
sh.600358,1,*ST联合
sh.600360,1,华微电子
sh.600362,1,江西铜业
sh.600365,1,ST通葡
sh.600367,1,红星发展
sh.600369,1,西南证券
sh.600371,1,万向德农
sh.600373,1,中文传媒
sh.600376,1,首开股份
sh.600378,1,昊华科技
sh.600380,1,健康元
sh.600382,1,广东明珠
sh.600385,1,ST金泰
sh.600387,1,海越能源
sh.600389,1,江山股份
sh.600391,1,航发科技
sh.600393,1,粤泰股份
sh.600396,1,金山股份
sh.600398,1,海澜之家
sh.600400,1,红豆股份
sh.600405,1,动力源
sh.600408,1,ST安泰
sh.600410,1,华胜天成
sh.600416,1,*ST湘电
sh.600419,1,天润乳业
sh.600421,1,ST仰帆
sh.600423,1,ST柳化
sh.600426,1,华鲁恒升
sh.600429,1,三元股份
sh.600435,1,北方导航
sh.600438,1,通威股份
sh.600444,1,国机通用
sh.600448,1,华纺股份
sh.600452,1,涪陵电力
sh.600456,1,宝钛股份
sh.600459,1,贵研铂业
sh.600461,1,洪城水业
sh.600463,1,空港股份
sh.600467,1,好当家
sh.600469,1,风神股份
sh.600475,1,华光环能
sh.600477,1,杭萧钢构
sh.600479,1,千金药业
sh.600481,1,双良节能
sh.600483,1,福能股份
sh.600486,1,扬农化工
sh.600488,1,天药股份
sh.600490,1,鹏欣资源
sh.600493,1,凤竹纺织
sh.600496,1,精工钢构
sh.600498,1,烽火通信
sh.600500,1,中化国际
sh.600502,1,安徽建工
sh.600505,1,西昌电力
sh.600507,1,方大特钢
sh.600509,1,天富能源
sh.600511,1,国药股份
sh.600513,1,联环药业
sh.600516,1,方大炭素
sh.600518,1,ST康美
sh.600520,1,文一科技
sh.600522,1,中天科技
sh.600525,1,长园集团
sh.600527,1,江南高纤
sh.600529,1,山东药玻
sh.600531,1,豫光金铅
sh.600533,1,栖霞建设
sh.600536,1,中国软件
sh.600538,1,国发股份
sh.600540,1,新赛股份
sh.600545,1,卓郎智能
sh.600547,0,山东黄金
sh.600549,1,厦门钨业
sh.600551,1,时代出版
sh.600555,1,*ST海创
sh.600557,1,康缘药业
sh.600559,1,老白干酒
sh.600561,1,江西长运
sh.600563,1,法拉电子
sh.600566,1,济川药业
sh.600568,1,*ST中珠
sh.600570,1,恒生电子
sh.600572,1,康恩贝
sh.600575,1,淮河能源
sh.600577,1,精达股份
sh.600579,1,克劳斯
sh.600581,1,八一钢铁
sh.600583,1,海油工程
sh.600585,1,海螺水泥
sh.600587,1,新华医疗
sh.600589,1,广东榕泰
sh.600592,1,龙溪股份
sh.600594,1,益佰制药
sh.600596,1,新安股份
sh.600598,1,北大荒
sh.600600,1,青岛啤酒
sh.600602,1,云赛智联
sh.600604,1,市北高新
sh.600606,1,绿地控股
sh.600609,1,金杯汽车
sh.600611,1,大众交通
sh.600613,1,神奇制药
sh.600615,1,丰华股份
