date,close,open,low,high,volume,pctChg,isST
2020-04-15,4.2600000000,4.2800000000,4.2300000000,4.3100000000,4890400,0.235300,0
2020-04-16,4.2600000000,4.2400000000,4.2200000000,4.2600000000,3639762,0.000000,0
2020-04-17,4.3100000000,4.2700000000,4.2500000000,4.3500000000,8977313,1.173700,0
2020-04-20,4.3500000000,4.3100000000,4.3100000000,4.3700000000,5866200,0.928100,0
2020-04-21,4.2500000000,4.3500000000,4.2200000000,4.3600000000,7487600,-2.298800,0
2020-04-22,4.2500000000,4.2100000000,4.1800000000,4.2500000000,5324100,0.000000,0
2020-04-23,4.2000000000,4.2300000000,4.1900000000,4.2500000000,4652400,-1.176500,0
2020-04-24,4.0900000000,4.1800000000,4.0700000000,4.1900000000,7079511,-2.619000,0
2020-04-27,4.0700000000,4.1200000000,4.0600000000,4.1500000000,3446200,-0.489000,0
2020-04-28,3.9100000000,4.0700000000,3.8400000000,4.0800000000,7509200,-3.931200,0
2020-04-29,3.9000000000,3.9000000000,3.8600000000,3.9400000000,3731043,-0.255800,0
2020-04-30,3.9600000000,3.8600000000,3.8600000000,3.9700000000,3910800,1.538500,0
2020-05-06,4.0600000000,3.9500000000,3.9200000000,4.0700000000,5603311,2.525200,0
2020-05-07,4.0200000000,4.0400000000,4.0100000000,4.0900000000,4578250,-0.985200,0
2020-05-08,4.0100000000,4.0500000000,3.9900000000,4.0600000000,6098200,-0.248800,0
2020-05-11,4.0600000000,4.0100000000,4.0100000000,4.1500000000,8180239,1.246900,0
2020-05-12,3.9900000000,4.0600000000,3.9800000000,4.0700000000,4641519,-1.724100,0
2020-05-13,4.0000000000,4.0000000000,3.9600000000,4.0200000000,2657603,0.250600,0
2020-05-14,3.9400000000,3.9900000000,3.9300000000,4.0000000000,3674300,-1.500000,0
2020-05-15,3.9100000000,3.9800000000,3.8900000000,3.9800000000,3796500,-0.761400,0
2020-05-18,4.0200000000,3.9300000000,3.9300000000,4.0900000000,8369655,2.813300,0
2020-05-19,3.9700000000,4.0100000000,3.9600000000,4.0100000000,5346532,-1.243800,0
2020-05-20,3.9500000000,3.9900000000,3.9400000000,4.0000000000,3909461,-0.503800,0
2020-05-21,3.9500000000,3.9400000000,3.9300000000,3.9700000000,3609670,0.000000,0
2020-05-22,4.1700000000,3.9200000000,3.8900000000,4.2400000000,19479874,5.569600,0
2020-05-25,4.0600000000,4.1000000000,4.0000000000,4.1800000000,10801700,-2.637900,0
2020-05-26,4.0500000000,4.0200000000,3.9900000000,4.0700000000,7640500,-0.246300,0
2020-05-27,4.0700000000,4.0100000000,4.0000000000,4.1300000000,7513107,0.493800,0
2020-05-28,4.1300000000,4.0500000000,4.0300000000,4.2000000000,15313318,1.474200,0
2020-05-29,4.1100000000,4.0800000000,4.0700000000,4.1400000000,8915055,-0.484300,0
2020-06-01,4.1400000000,4.1000000000,4.0600000000,4.1400000000,11292207,0.729900,0
2020-06-02,4.1200000000,4.1400000000,4.1000000000,4.1600000000,9854907,-0.483100,0
2020-06-03,4.0600000000,4.1200000000,4.0500000000,4.1200000000,8487207,-1.456300,0
2020-06-04,4.0600000000,4.0700000000,4.0400000000,4.0800000000,4333661,0.000000,0
2020-06-05,4.0300000000,4.0300000000,4.0100000000,4.0500000000,4553924,-0.738900,0
2020-06-08,4.0300000000,4.0200000000,4.0200000000,4.0800000000,3536764,0.000000,0
2020-06-09,4.0400000000,4.0500000000,4.0100000000,4.0600000000,2953861,0.248100,0
2020-06-10,3.9900000000,4.0500000000,3.9800000000,4.0500000000,3907545,-1.237600,0
2020-06-11,3.9800000000,3.9900000000,3.9700000000,4.0100000000,4026961,-0.250600,0
2020-06-12,3.9500000000,3.8500000000,3.8500000000,3.9800000000,5447735,-0.753800,0
2020-06-15,3.9300000000,3.9000000000,3.9000000000,3.9600000000,3646003,-0.506300,0
2020-06-16,3.9500000000,3.9300000000,3.9300000000,3.9700000000,3711243,0.508900,0
2020-06-17,3.9500000000,3.9700000000,3.9200000000,3.9700000000,3106849,0.000000,0
2020-06-18,3.9600000000,3.9600000000,3.9300000000,4.0000000000,5468100,0.253200,0
2020-06-19,3.9600000000,3.9600000000,3.9200000000,3.9600000000,3989700,0.000000,0
2020-06-22,3.9800000000,3.9600000000,3.9500000000,3.9900000000,4231420,0.505100,0
2020-06-23,3.9600000000,3.9500000000,3.9500000000,3.9800000000,2597720,-0.502500,0
2020-06-24,3.9200000000,3.9500000000,3.9100000000,3.9700000000,3090670,-1.010100,0
2020-06-29,3.8900000000,3.9200000000,3.8700000000,3.9300000000,4984813,-0.765300,0
2020-06-30,3.9100000000,3.8900000000,3.8800000000,3.9100000000,3505400,0.514100,0
2020-07-01,3.9200000000,3.9100000000,3.8800000000,3.9200000000,4307100,0.255800,0
2020-07-02,4.0100000000,3.9300000000,3.9100000000,4.0500000000,9756620,2.295900,0
2020-07-03,4.1000000000,4.0100000000,3.9900000000,4.1500000000,20115539,2.244400,0
2020-07-06,4.3000000000,4.1300000000,4.1200000000,4.3500000000,30272799,4.878100,0
2020-07-07,4.2400000000,4.4100000000,4.2200000000,4.4400000000,26480149,-1.395400,0
2020-07-08,4.4000000000,4.1900000000,4.1900000000,4.4700000000,30111896,3.773600,0
2020-07-09,4.7100000000,4.4400000000,4.4000000000,4.7700000000,42808670,7.045500,0
2020-07-10,4.4500000000,4.6300000000,4.4400000000,4.6500000000,28359372,-5.520200,0
2020-07-13,4.5300000000,4.4600000000,4.3700000000,4.6100000000,22141694,1.797800,0
2020-07-14,4.4700000000,4.5000000000,4.4000000000,4.5900000000,20567427,-1.324500,0
2020-07-15,4.3400000000,4.5100000000,4.3200000000,4.5800000000,15217970,-2.908300,0
2020-07-16,4.2500000000,4.3500000000,4.2300000000,4.4800000000,17188804,-2.073700,0
2020-07-17,4.1600000000,4.2500000000,4.1400000000,4.3400000000,12324500,-2.117700,0
2020-07-20,4.4200000000,4.2100000000,4.1900000000,4.4700000000,17251585,6.250000,0
2020-07-21,4.4200000000,4.4300000000,4.3900000000,4.5200000000,12920870,0.000000,0
2020-07-22,4.4500000000,4.4000000000,4.3900000000,4.5400000000,13639974,0.678700,0
2020-07-23,4.4300000000,4.4100000000,4.3100000000,4.4900000000,11036148,-0.449400,0
2020-07-24,4.2800000000,4.4100000000,4.2600000000,4.4800000000,12294536,-3.386000,0
2020-07-27,4.2700000000,4.2700000000,4.2100000000,4.3200000000,7819627,-0.233600,0
2020-07-28,4.3500000000,4.2800000000,4.2800000000,4.4300000000,9211184,1.873500,0
2020-07-29,4.4400000000,4.3500000000,4.2900000000,4.4400000000,13269842,2.069000,0
2020-07-30,4.4600000000,4.4400000000,4.4200000000,4.5300000000,14451403,0.450500,0
2020-07-31,4.3900000000,4.4000000000,4.3100000000,4.4100000000,13722308,-1.569500,0
2020-08-03,4.5400000000,4.4500000000,4.4200000000,4.5500000000,20335047,3.416900,0
2020-08-04,4.6000000000,4.6100000000,4.5400000000,4.6900000000,24664435,1.321600,0
2020-08-05,4.6200000000,4.5000000000,4.4600000000,4.7200000000,21468911,0.434800,0
2020-08-06,4.5800000000,4.6300000000,4.5200000000,4.7000000000,15507140,-0.865800,0
2020-08-07,4.5600000000,4.5800000000,4.4700000000,4.6100000000,10679600,-0.436700,0
2020-08-10,4.6900000000,4.5700000000,4.5200000000,4.7500000000,21863326,2.850900,0
2020-08-11,4.5100000000,4.6600000000,4.5000000000,4.6800000000,15169820,-3.838000,0
2020-08-12,4.5100000000,4.4900000000,4.4300000000,4.6300000000,11818800,0.000000,0
2020-08-13,4.5300000000,4.5100000000,4.4800000000,4.5900000000,8781985,0.443500,0
2020-08-14,4.4800000000,4.5500000000,4.3800000000,4.5500000000,11330203,-1.103800,0
2020-08-17,4.6700000000,4.4700000000,4.4700000000,4.7100000000,22615385,4.241100,0
2020-08-18,4.7400000000,4.7200000000,4.6800000000,4.8500000000,21791715,1.498900,0
2020-08-19,4.6700000000,4.7000000000,4.6600000000,4.7700000000,12810900,-1.476800,0
2020-08-20,4.5700000000,4.8300000000,4.5400000000,4.8400000000,18500580,-2.141300,0
2020-08-21,4.5400000000,4.5700000000,4.5000000000,4.6000000000,10685470,-0.656500,0
2020-08-24,4.5000000000,4.5200000000,4.4400000000,4.5400000000,9932903,-0.881100,0
2020-08-25,4.4500000000,4.5300000000,4.4200000000,4.5400000000,9438785,-1.111100,0
2020-08-26,4.3600000000,4.4300000000,4.3300000000,4.4800000000,7859900,-2.022500,0
2020-08-27,4.3500000000,4.3800000000,4.2700000000,4.3800000000,7571600,-0.229400,0
2020-08-28,4.3900000000,4.3500000000,4.3100000000,4.4100000000,6399600,0.919500,0
2020-08-31,4.3000000000,4.4000000000,4.2800000000,4.4500000000,9240400,-2.050100,0
2020-09-01,4.2700000000,4.2900000000,4.2500000000,4.3300000000,5805632,-0.697700,0
2020-09-02,4.2900000000,4.2900000000,4.2500000000,4.3200000000,7517700,0.468400,0
2020-09-03,4.2900000000,4.2800000000,4.2600000000,4.3200000000,6038300,0.000000,0
2020-09-04,4.2300000000,4.2300000000,4.1800000000,4.2600000000,6809000,-1.398600,0
2020-09-07,4.1500000000,4.2300000000,4.1500000000,4.2900000000,7628085,-1.891300,0
2020-09-08,4.1600000000,4.1600000000,4.1000000000,4.1700000000,9943329,0.241000,0
2020-09-09,4.1300000000,4.1300000000,4.1200000000,4.2300000000,11120864,-0.721200,0
2020-09-10,3.9100000000,4.1500000000,3.9000000000,4.1800000000,15066514,-5.326900,0
2020-09-11,3.9600000000,3.9100000000,3.9000000000,3.9700000000,5236309,1.278800,0
2020-09-14,3.9400000000,3.9600000000,3.9200000000,3.9900000000,5992900,-0.505100,0
2020-09-15,3.9400000000,3.9600000000,3.9200000000,3.9700000000,4324200,0.000000,0
2020-09-16,3.9100000000,3.9200000000,3.9000000000,3.9500000000,3781321,-0.761400,0
2020-09-17,3.9400000000,3.9000000000,3.8900000000,3.9700000000,4944800,0.767300,0
2020-09-18,3.9600000000,3.9200000000,3.9000000000,3.9700000000,7291435,0.507600,0
2020-09-21,3.9400000000,3.9600000000,3.9300000000,3.9800000000,5386300,-0.505100,0
2020-09-22,3.9000000000,3.9100000000,3.8700000000,3.9400000000,5486885,-1.015200,0
2020-09-23,3.9000000000,3.9100000000,3.8900000000,3.9400000000,4337800,0.000000,0
2020-09-24,3.8000000000,3.8900000000,3.7900000000,3.9000000000,7839500,-2.564100,0
2020-09-25,3.7500000000,3.8200000000,3.7200000000,3.8300000000,5310052,-1.315800,0
2020-09-28,3.6900000000,3.7800000000,3.6800000000,3.7800000000,3957536,-1.600000,0
2020-09-29,3.7100000000,3.7100000000,3.6600000000,3.7400000000,3434107,0.542000,0
2020-09-30,3.6700000000,3.6900000000,3.6600000000,3.7200000000,4255307,-1.078200,0
2020-10-09,3.7700000000,3.7000000000,3.7000000000,3.8000000000,4797000,2.724800,0
2020-10-12,3.8500000000,3.7700000000,3.7700000000,3.8700000000,5711640,2.122000,0
2020-10-13,3.8300000000,3.8400000000,3.7900000000,3.8400000000,3568501,-0.519500,0
2020-10-14,3.7900000000,3.8200000000,3.7700000000,3.8400000000,2787407,-1.044400,0
2020-10-15,3.7500000000,3.8000000000,3.7400000000,3.8100000000,3555300,-1.055400,0
2020-10-16,3.7500000000,3.7900000000,3.7300000000,3.7900000000,2734468,0.000000,0
2020-10-19,3.7300000000,3.7600000000,3.7200000000,3.8100000000,4000200,-0.533300,0
2020-10-20,3.7600000000,3.7200000000,3.7000000000,3.7700000000,3071340,0.804300,0
2020-10-21,3.7100000000,3.7600000000,3.6900000000,3.7700000000,3526300,-1.329800,0
2020-10-22,3.7100000000,3.6900000000,3.6600000000,3.7400000000,3341532,0.000000,0
2020-10-23,3.6900000000,3.7300000000,3.6800000000,3.7500000000,2900300,-0.539100,0
2020-10-26,3.6700000000,3.6800000000,3.6300000000,3.7100000000,2972500,-0.542000,0
