date,close,open,low,high,volume,pctChg,isST
2021-01-04,8.2971140400,8.3070269600,8.1583331600,8.3764174000,5162050,0.965000,0
2021-01-05,8.1186814800,8.2872011200,8.0096393600,8.2971140400,6479410,-2.150500,0
2021-01-06,7.7915551200,8.1285944000,7.6825130000,8.1484202400,9748720,-4.029300,0
2021-01-07,7.3851254000,7.7915551200,7.2463445200,7.8014680400,9069685,-5.216300,0
2021-01-08,7.2463445200,7.3256478800,6.9687827600,7.6032096400,8146780,-1.879200,0
2021-01-11,6.9786956800,7.2859962000,6.9291310800,7.3256478800,6369890,-3.693600,0
2021-01-12,7.0381732000,6.9786956800,6.9192181600,7.3652995600,6947692,0.852300,0
2021-01-13,6.8894794000,7.0480861200,6.8002631200,7.1571282400,5913752,-2.112700,0
2021-01-14,6.8894794000,6.8894794000,6.6416564000,6.9291310800,5797740,0.000000,0
2021-01-15,8.2673752800,7.6527742400,7.6527742400,8.2673752800,12398450,20.000000,0
2021-01-18,8.5350241200,8.2673752800,7.9105101600,8.8720634000,27115730,3.237400,0
2021-01-19,8.2078977600,8.1285944000,8.0294652000,8.3665044800,17796570,-3.832800,0
2021-01-20,8.2376365200,8.1087685600,7.9699876800,8.4358949200,15371660,0.362300,0
2021-01-21,8.0492910400,8.1285944000,7.9204230800,8.2376365200,12549208,-2.286400,0
2021-01-22,7.8609455600,8.0195522800,7.7221646800,8.0393781200,9242960,-2.339900,0
2021-01-25,7.9501618400,7.8510326400,7.7519034400,8.1186814800,11321680,1.134900,0
2021-01-26,8.1186814800,7.8312068000,7.4346900000,8.1186814800,12076188,2.119700,0
2021-01-27,8.1583331600,8.2772882000,8.0988556400,8.8224988000,20173569,0.488400,0
2021-01-28,7.6131225600,7.3950383200,7.3950383200,7.9105101600,13613620,-6.682900,0
2021-01-29,7.1967799200,7.5734708800,7.0579990400,7.7221646800,10729170,-5.468800,0
2021-02-01,7.2265186800,7.2661703600,7.1571282400,7.5833838000,7890360,0.413200,0
2021-02-02,7.3058220400,7.2859962000,7.0778248800,7.4148641600,6867609,1.097400,0
2021-02-03,7.0778248800,7.2463445200,7.0084344400,7.2859962000,6823410,-3.120800,0
2021-02-04,6.9093052400,7.0084344400,6.7705243600,7.0877378000,6080050,-2.381000,0
2021-02-05,6.7308726800,6.9390440000,6.7209597600,7.1075636400,4582200,-2.582500,0
2021-02-08,6.8101760400,6.7209597600,6.5920918000,6.8200889600,4492400,1.178200,0
2021-02-09,7.0183473600,6.8300018800,6.7407856000,7.1373024000,6335500,3.056800,0
2021-02-10,6.8993923200,6.9985215200,6.8498277200,7.0877378000,4898350,-1.694900,0
2021-02-18,7.1075636400,7.0579990400,7.0579990400,7.2562574400,6099999,3.017200,0
2021-02-19,7.3851254000,7.1075636400,7.0679119600,7.4842546000,6836400,3.905200,0
2021-02-22,7.4644287600,7.3950383200,7.3851254000,7.6825130000,7954250,1.073800,0
2021-02-23,7.5635579600,7.6131225600,7.3950383200,8.0294652000,11216569,1.328000,0
2021-02-24,7.6527742400,7.4446029200,7.4446029200,7.7023388400,9839359,1.179600,0
2021-02-25,7.4446029200,7.7320776000,7.4148641600,7.7816422000,8146950,-2.720200,0
2021-02-26,7.5635579600,7.3256478800,7.3256478800,7.7816422000,8787300,1.597900,0
2021-03-01,7.7023388400,7.4842546000,7.4842546000,7.7122517600,7185200,1.834900,0
2021-03-02,7.8411197200,7.6924259200,7.5734708800,7.9799006000,11601718,1.801800,0
2021-03-03,7.7915551200,7.7915551200,7.5932967200,7.8312068000,7719878,-0.632100,0
2021-03-04,7.6726000800,7.7816422000,7.6131225600,7.8411197200,6618458,-1.526700,0
2021-03-05,7.8708584800,7.6131225600,7.5833838000,7.8906843200,9407580,2.584000,0
2021-03-08,7.7023388400,7.9204230800,7.6924259200,8.0294652000,9604188,-2.141100,0
2021-03-09,7.5437321200,7.7122517600,7.3752124800,7.8212938800,8237618,-2.059200,0
2021-03-10,7.1769540800,7.6032096400,7.1670411600,7.6626871600,8086100,-4.862000,0
2021-03-11,7.5437321200,7.2066928400,7.1273894800,7.6527742400,9414900,5.110500,0
2021-03-12,8.0691168800,7.5239062800,7.4346900000,8.1186814800,15825500,6.964500,0
2021-03-15,7.7618163600,8.3268528000,7.6924259200,8.3268528000,15172807,-3.808400,0
2021-03-16,7.9600747600,7.7618163600,7.6825130000,8.0195522800,12466330,2.554300,0
2021-03-17,7.8212938800,7.9303360000,7.7320776000,8.0096393600,9656530,-1.743500,0
2021-03-18,8.1682460800,7.7816422000,7.7221646800,8.2277236000,19583718,4.436000,0
2021-03-19,7.9204230800,7.9303360000,7.8312068000,8.1186814800,13310810,-3.034000,0
2021-03-22,7.9799006000,7.8708584800,7.8312068000,8.0096393600,8531970,0.750900,0
2021-03-23,7.5536450400,7.9799006000,7.4644287600,8.0096393600,11864815,-5.341600,0
2021-03-24,7.4446029200,7.4842546000,7.3553866400,7.6329484000,6705650,-1.443600,0
2021-03-25,7.2959091200,7.4346900000,7.2562574400,7.4842546000,5301438,-1.997300,0
2021-03-26,7.4941675200,7.2760832800,7.2760832800,7.5734708800,5925127,2.717400,0
2021-03-29,7.4049512400,7.5040804400,7.3355608000,7.5536450400,4760830,-1.190500,0
2021-03-30,7.0679119600,7.3652995600,7.0679119600,7.3851254000,7362250,-4.551500,0
2021-03-31,7.1075636400,7.0480861200,7.0381732000,7.1472153200,3373720,0.561000,0
