date,close,open,low,high,volume,pctChg,isST
2015-01-05,3.4977729600,3.4795173600,3.4576106400,3.5306330400,2403507,0.524700,0
2015-01-06,3.5196796800,3.4941218400,3.4539595200,3.5342841600,1299349,0.626300,0
2015-01-07,3.4795173600,3.5196796800,3.4284016800,3.5561908800,1528807,-1.141100,0
2015-01-08,3.4722151200,3.4795173600,3.4357039200,3.4831684800,979219,-0.209900,0
2015-01-09,3.4576106400,3.4758662400,3.4320528000,3.4758662400,931436,-0.420600,0
2015-01-12,3.3407748000,3.4539595200,3.3188680800,3.4539595200,915912,-3.379100,0
2015-01-13,3.3809371200,3.3261703200,3.3225192000,3.3882393600,675344,1.202200,0
2015-01-14,3.3517281600,3.3736348800,3.3298214400,3.4320528000,978700,-0.863900,0
2015-01-15,3.3663326400,3.3517281600,3.3517281600,3.4064949600,558584,0.435700,0
2015-01-16,3.3991927200,3.3699837600,3.3663326400,3.4137972000,666158,0.976100,0
2015-01-19,3.3736348800,3.3553792800,3.3079147200,3.4393550400,1117556,-0.751900,0
2015-01-20,3.4904707200,3.3663326400,3.3663326400,3.4904707200,1666633,3.463200,0
2015-01-21,3.5707953600,3.5050752000,3.4941218400,3.5780976000,4522088,2.301200,0
2015-01-22,3.6328644000,3.5525397600,3.5123774400,3.6693756000,4986284,1.738200,0
2015-01-23,3.6000043200,3.6036554400,3.5817487200,3.6876312000,3708900,-0.904500,0
2015-01-26,3.6803289600,3.5452375200,3.5452375200,3.7095379200,2617521,2.231200,0
2015-01-27,3.6693756000,3.6657244800,3.6182599200,3.7277935200,1825185,-0.297600,0
2015-01-28,3.6620733600,3.6730267200,3.6328644000,3.6949334400,1335357,-0.199000,0
2015-01-29,3.6073065600,3.6365155200,3.6036554400,3.6547711200,1654043,-1.495500,0
2015-01-30,3.6365155200,3.6073065600,3.5890509600,3.6401666400,1545619,0.809700,0
2015-02-02,3.6985845600,3.6146088000,3.6109576800,3.7204912800,3330429,1.706800,0
2015-02-03,3.7643047200,3.6803289600,3.6803289600,3.8227226400,3703062,1.776900,0
2015-02-04,3.7058868000,3.7643047200,3.6912823200,3.7643047200,1319746,-1.551900,0
2015-02-05,3.7241424000,3.7241424000,3.7058868000,3.8117692800,2385225,0.492600,0
2015-02-06,3.6876312000,3.7241424000,3.6146088000,3.7935136800,1616491,-0.980400,0
2015-02-09,3.5817487200,3.6876312000,3.5598420000,3.6876312000,1491341,-2.871300,0
2015-02-10,3.5817487200,3.5817487200,3.5415864000,3.6036554400,1199156,0.000000,0
2015-02-11,3.6766778400,3.5853998400,3.5817487200,3.7241424000,1860719,2.650300,0
2015-02-12,3.7570024800,3.6730267200,3.6693756000,3.7606536000,1359584,2.184700,0
2015-02-13,3.8117692800,3.7606536000,3.7606536000,3.8263737600,2688396,1.457700,0
2015-02-16,3.8847916800,3.7898625600,3.7898625600,3.9140006400,2133248,1.915700,0
2015-02-17,3.8519316000,3.8847916800,3.8336760000,3.9249540000,1650110,-0.845900,0
2015-02-25,3.8920939200,3.8665360800,3.8482804800,3.9286051200,1736627,1.042700,0
2015-02-26,3.9066984000,3.8738383200,3.8336760000,3.9176517600,1526488,0.375200,0
2015-02-27,3.9213028800,3.9066984000,3.9066984000,3.9614652000,1926168,0.373800,0
2015-03-02,3.9943252800,3.9687674400,3.9359073600,3.9943252800,3101144,1.862200,0
2015-03-03,4.0454409600,4.0052786400,3.9797208000,4.1367189600,5264570,1.279700,0
2015-03-04,4.1440212000,4.0417898400,4.0198831200,4.1586256800,4247130,2.436800,0
2015-03-05,4.2645081600,4.1622768000,4.1257656000,4.4251574400,6895107,2.907500,0
2015-03-06,4.2645081600,4.2827637600,4.1622768000,4.2937171200,3775341,0.000000,0
2015-03-09,4.4543664000,4.2389503200,4.1659279200,4.4981798400,6134917,4.452100,0
2015-03-10,4.5931089600,4.4543664000,4.4215063200,4.6624802400,5812934,3.114800,0
2015-03-11,4.5894578400,4.5894578400,4.4945287200,4.6296201600,3104093,-0.079500,0
2015-03-12,4.4726220000,4.5675511200,4.3813440000,4.6843869600,3267043,-2.545700,0
2015-03-13,4.6369224000,4.4726220000,4.4397619200,4.6369224000,3483575,3.673500,0
2015-03-16,4.9180586400,4.6478757600,4.6478757600,4.9472676000,6296825,6.063000,0
2015-03-17,4.9618720800,4.9290120000,4.8559896000,4.9837788000,3854783,0.890900,0
2015-03-18,4.8669429600,4.9290120000,4.8085250400,4.9618720800,7437575,-1.913200,0
2015-03-19,4.9034541600,4.8377340000,4.7683627200,4.9764765600,6124370,0.750200,0
2015-03-20,4.8925008000,4.8925008000,4.7866183200,4.9472676000,4941362,-0.223400,0
2015-03-23,4.9144075200,4.8267806400,4.8194784000,4.9837788000,7008777,0.447800,0
2015-03-24,5.4073087200,4.9180586400,4.9144075200,5.4073087200,13225655,10.029700,0
2015-03-25,5.3488908000,5.4036576000,5.1918926400,5.4365176800,8603483,-1.080400,0
2015-03-26,5.3780997600,5.2211016000,5.2028460000,5.5497024000,6955024,0.546100,0
2015-03-27,5.4511221600,5.3780997600,5.2649150400,5.5131912000,4419977,1.357800,0
2015-03-30,5.8052808000,5.4766800000,5.4766800000,5.9002099200,8139991,6.497000,0
2015-03-31,5.6847938400,5.7870252000,5.6263759200,5.8052808000,3917578,-2.075500,0
2015-04-01,5.7176539200,5.6409804000,5.5862136000,5.7760718400,5090813,0.578000,0
2015-04-02,5.6446315200,5.7140028000,5.5241445600,5.7979785600,8939909,-1.277100,0
2015-04-03,5.6811427200,5.6446315200,5.5314468000,5.7249561600,7395262,0.646800,0
2015-04-07,5.8892565600,5.7067005600,5.6227248000,6.0243480000,8563103,3.663200,0
2015-04-08,5.8454431200,5.8965588000,5.7687696000,6.1302304800,10224317,-0.743900,0
2015-04-09,5.7614673600,5.8454431200,5.5131912000,5.8454431200,5025206,-1.436600,0
2015-04-10,5.9403722400,5.7395606400,5.7395606400,5.9586278400,7403248,3.105200,0
2015-04-13,6.1156260000,5.9148144000,5.9038610400,6.3164376000,8108907,2.950200,0
2015-04-14,5.9878368000,6.1119748800,5.9732323200,6.2142062400,8386417,-2.089600,0
2015-04-15,5.7614673600,5.9330700000,5.6628871200,5.9878368000,5690829,-3.780500,0
2015-04-16,5.8929076800,5.7614673600,5.1845904000,6.0572080800,5651021,2.281400,0
2015-04-17,5.8016296800,5.8892565600,5.7724207200,6.0024412800,4997687,-1.548900,0
2015-04-20,5.5131912000,5.6154225600,5.4474710400,5.8016296800,6103738,-4.971700,0
2015-04-21,5.6592360000,5.5168423200,5.5058889600,5.6811427200,4152744,2.649000,0
2015-04-22,5.8490942400,5.6774916000,5.6774916000,5.9367211200,5549143,3.354800,0
2015-04-23,6.0206968800,5.8673498400,5.8527453600,6.0937192800,6329590,2.933800,0
2015-04-24,5.9841856800,5.9403722400,5.8929076800,6.1557883200,5963103,-0.606400,0
2015-04-27,5.7906763200,6.0426036000,5.7322584000,6.0499058400,8666595,-3.233700,0
2015-04-28,5.5862136000,5.7870252000,5.5314468000,5.7870252000,4490915,-3.530900,0
2015-04-29,5.8892565600,5.5752602400,5.4803311200,5.9622789600,5126595,5.424800,0
2015-04-30,5.9513256000,5.8783032000,5.8417920000,6.1521372000,5558125,1.053900,0
2015-05-04,6.0389524800,5.9732323200,5.8417920000,6.1521372000,5192182,1.472400,0
2015-05-05,6.3894600000,6.0608592000,6.0608592000,6.6413872800,10184871,5.804100,0
2015-05-06,6.2069040000,6.4807380000,6.0608592000,6.5355048000,5474892,-2.857100,0
2015-05-07,5.8929076800,6.1922995200,5.6920960800,6.2069040000,3974263,-5.058800,0
2015-05-08,6.1192771200,5.9476744800,5.8454431200,6.1192771200,3964758,3.841400,0
2015-05-11,6.5099469600,6.1338816000,6.0243480000,6.5610626400,7620201,6.384200,0
2015-05-12,6.5720160000,6.5209003200,6.2069040000,6.6267828000,5717024,0.953400,0
2015-05-13,6.7326652800,6.5355048000,6.3492976800,6.9334768800,7376995,2.444400,0
2015-05-14,7.0868239200,6.7399675200,6.6815496000,7.2292176000,7917780,5.260300,0
2015-05-15,7.5906784800,7.1160328800,6.7947343200,7.7695833600,10181892,7.109700,0
2015-05-18,7.4008202400,7.4994004800,7.3752624000,7.9594416000,9580879,-2.501200,0
2015-05-19,7.5395628000,7.4154247200,7.2474732000,7.6490964000,7358949,1.874700,0
2015-05-20,7.7221188000,7.5760740000,7.5760740000,7.8791169600,7438717,2.421300,0
2015-05-21,8.4632961600,7.6673520000,7.6162363200,8.4779006400,8378888,9.598100,0
2015-05-22,8.5509230400,8.6202943200,8.4998073600,9.2008224000,10857005,1.035400,0
2015-05-25,8.5436208000,8.4852028800,8.1785088000,8.6129920800,14226038,-0.085400,0
2015-05-26,8.9014305600,8.5144118400,8.3975760000,9.0036619200,17755787,4.188000,0
2015-05-27,8.6020387200,8.9014305600,8.5253652000,8.9014305600,13825511,-3.363400,0
2015-05-28,7.7732344800,8.6129920800,7.7586300000,8.7444324000,11799463,-9.635000,0
2015-05-29,7.7987923200,7.7513277600,7.0101504000,8.0288128800,9300705,0.328800,0
2015-06-01,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-02,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-03,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-04,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-05,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-08,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-09,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-10,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-11,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-12,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-15,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-16,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-17,7.7987923200,7.7987923200,7.7987923200,7.7987923200,0,0.000000,0
2015-06-18,7.9229304000,8.5801320000,7.8864192000,8.5801320000,16391263,1.591800,0
2015-06-19,7.1306373600,7.5687717600,7.1306373600,7.6308408000,8695169,-10.000000,0
2015-06-23,6.4442268000,6.9371280000,6.4186689600,6.9371280000,11598099,-9.626200,0
2015-06-24,6.7399675200,6.5683648800,6.5062958400,6.9736392000,12062335,4.589200,0
2015-06-25,6.8969656800,6.7180608000,6.6450384000,7.2073108800,13167502,2.329400,0
2015-06-26,6.2069040000,6.6450384000,6.2069040000,6.7728276000,8151032,-10.005300,0
2015-06-29,5.5862071200,6.3905328000,5.5862071200,6.4272600000,7071079,-10.000000,0
2015-06-30,5.6927160000,5.4282801600,5.0279536800,5.8579884000,10462004,1.906600,0
2015-07-01,5.1234444000,5.6229343200,5.1234444000,5.8102430400,10310116,-10.000000,0
2015-07-02,4.6129363200,4.9728628800,4.6129363200,4.9948992000,11816279,-9.964200,0
2015-07-03,4.1501736000,4.3154460000,4.1501736000,4.5468273600,12427312,-10.031800,0
2015-07-06,3.7351562400,4.5615182400,3.7351562400,4.5615182400,16208591,-10.000000,0
2015-07-07,3.6947563200,3.4890840000,3.3605388000,3.7608652800,9960165,-1.081600,0
2015-07-08,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-09,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-10,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-13,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-14,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-15,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-16,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
2015-07-17,3.6947563200,3.6947563200,3.6947563200,3.6947563200,0,0.000000,0
